SALTY02869	fucI
SALTY02868	fucA
SALTY02867	fucO
SALTY02866	exo
SALTY02865	STM2971
SALTY02864	sdaC
SALTY02863	ygdH
SALTY02860	yqcC
SALTY02859	yqcB
SALTY02857	gudT
SALTY02856	ygcY
SALTY02855	gudD
SALTY02854	STM2959
SALTY02853	barA
SALTY02851	relA
SALTY02849	mazG
SALTY02848	pyrG
SALTY02847	eno
SALTY02845	STM2950
SALTY02844	ptpS
SALTY02843	cysJ
SALTY02842	cysI
SALTY02841	cysH
SALTY02840	sopD
SALTY02839	ygcB
SALTY02838	STM2943
SALTY02837	STM2942
SALTY02836	yghJ
SALTY02835	STM2940
SALTY02834	ygcH
SALTY02833	STM2938
SALTY02832	ygbF
SALTY02830	cysD
SALTY02829	cysN
SALTY02828	cysC
SALTY02826	ygbQ
SALTY02825	ispD
SALTY02824	ispF
SALTY02823	ygbO
SALTY02822	surE
SALTY02821	pcm
SALTY02819	rpoS
SALTY02814	ygbI
SALTY02813	ygbJ
SALTY02812	ygbK
SALTY02811	ygbL
SALTY02810	ygbM
SALTY02809	STM2914
SALTY02808	STM2913
SALTY02804	mutS
SALTY02802	pphB
SALTY02801	STM2906
SALTY02800	STM2905
SALTY02799	STM2904
SALTY02798	STM2903
SALTY02795	invH
SALTY02794	invF
SALTY02793	invG
SALTY02792	invE
SALTY02791	invA
SALTY02790	invB
SALTY02778	sipD
SALTY02772	iagB
SALTY02771	hilA
SALTY02770	hilD
SALTY02769	prgH
SALTY02768	prgI
